,sentiment_textblob_movie
1618,Positive
1619,Positive
1620,Positive
1621,Positive
1622,Positive
1623,Positive
1624,Positive
1625,Negative
1626,Positive
1627,Positive
1628,Negative
1629,Positive
1630,Positive
1631,Negative
1632,Positive
1633,Positive
1634,Positive
1635,Positive
1636,Positive
1637,Positive
1638,Positive
1639,Negative
1640,Positive
1641,Positive
1642,Positive
1643,Positive
1644,Positive
1645,Negative
1646,Positive
1647,Positive
1648,Positive
1649,Positive
1650,Negative
1651,Negative
1652,Negative
1653,Negative
1654,Positive
1655,Negative
1656,Negative
1657,Positive
1658,Positive
1659,Positive
1660,Positive
1661,Negative
1662,Negative
1663,Negative
1664,Negative
1665,Positive
1666,Negative
1667,Negative
1668,Positive
1669,Negative
1670,Negative
1671,Negative
1672,Positive
1673,Negative
1674,Positive
1675,Positive
1676,Positive
1677,Negative
1678,Positive
1679,Positive
1680,Negative
1681,Negative
1682,Negative
1683,Positive
1684,Positive
1685,Negative
1686,Negative
1687,Positive
1688,Positive
1689,Positive
1690,Positive
1691,Negative
1692,Positive
1693,Negative
1694,Positive
1695,Negative
1696,Positive
1697,Positive
1698,Positive
1699,Positive
1700,Negative
1701,Positive
1702,Negative
1703,Positive
1704,Negative
1705,Positive
1706,Positive
1707,Negative
1708,Positive
1709,Positive
1710,Positive
1711,Positive
1712,Positive
1713,Negative
1714,Positive
1715,Positive
1716,Positive
1717,Negative
1718,Positive
1719,Negative
1720,Positive
1721,Positive
1722,Positive
1723,Positive
1724,Negative
1725,Positive
1726,Negative
1727,Positive
1728,Negative
1729,Negative
1730,Positive
1731,Positive
1732,Positive
1733,Positive
1734,Positive
1735,Positive
1736,Negative
1737,Positive
1738,Negative
1739,Negative
1740,Negative
1741,Positive
1742,Negative
1743,Positive
1744,Negative
1745,Positive
1746,Negative
1747,Positive
1748,Positive
1749,Negative
1750,Positive
1751,Negative
1752,Negative
1753,Negative
1754,Negative
1755,Positive
1756,Negative
1757,Positive
1758,Negative
1759,Positive
1760,Negative
1761,Positive
1762,Negative
1763,Positive
1764,Negative
1765,Negative
1766,Positive
1767,Negative
1768,Negative
1769,Positive
1770,Positive
1771,Positive
1772,Positive
1773,Positive
1774,Positive
1775,Positive
1776,Negative
1777,Positive
1778,Positive
1779,Positive
1780,Positive
1781,Negative
1782,Positive
1783,Negative
1784,Positive
1785,Positive
1786,Positive
1787,Negative
1788,Positive
1789,Positive
1790,Positive
1791,Positive
1792,Negative
1793,Positive
1794,Positive
1795,Negative
1796,Positive
1797,Positive
1798,Positive
1799,Positive
1800,Positive
1801,Positive
1802,Positive
1803,Positive
1804,Positive
1805,Positive
1806,Positive
1807,Positive
1808,Positive
1809,Positive
1810,Positive
1811,Positive
1812,Positive
1813,Positive
1814,Positive
1815,Negative
1816,Positive
1817,Negative
1818,Negative
1819,Positive
1820,Positive
1821,Negative
1822,Negative
1823,Positive
1824,Positive
1825,Positive
1826,Positive
1827,Positive
1828,Positive
1829,Positive
1830,Positive
1831,Negative
1832,Negative
1833,Negative
1834,Positive
1835,Negative
1836,Positive
1837,Positive
1838,Negative
1839,Positive
1840,Positive
1841,Positive
1842,Negative
1843,Positive
1844,Negative
1845,Negative
1846,Negative
1847,Positive
1848,Positive
1849,Negative
1850,Positive
1851,Positive
1852,Positive
1853,Positive
1854,Positive
1855,Positive
1856,Positive
1857,Positive
1858,Negative
1859,Positive
1860,Positive
1861,Positive
1862,Positive
1863,Positive
1864,Positive
1865,Positive
1866,Positive
1867,Positive
1868,Positive
1869,Positive
1870,Negative
1871,Negative
1872,Positive
1873,Positive
1874,Positive
1875,Negative
1876,Positive
1877,Negative
1878,Positive
1879,Positive
1880,Negative
1881,Positive
1882,Positive
1883,Negative
1884,Negative
1885,Positive
1886,Positive
1887,Positive
1888,Positive
1889,Positive
1890,Positive
1891,Negative
1892,Positive
1893,Positive
1894,Positive
1895,Negative
1896,Negative
1897,Negative
1898,Negative
1899,Positive
1900,Positive
1901,Negative
1902,Positive
1903,Positive
1904,Positive
1905,Negative
1906,Negative
1907,Positive
1908,Negative
1909,Positive
1910,Negative
1911,Negative
1912,Positive
1913,Positive
1914,Positive
1915,Negative
1916,Positive
1917,Negative
1918,Negative
1919,Positive
1920,Positive
1921,Negative
1922,Positive
1923,Positive
1924,Negative
1925,Negative
1926,Positive
1927,Positive
1928,Negative
1929,Negative
1930,Positive
1931,Positive
1932,Positive
1933,Negative
1934,Positive
1935,Positive
1936,Positive
1937,Positive
1938,Positive
1939,Positive
1940,Negative
1941,Negative
1942,Positive
1943,Negative
1944,Negative
1945,Positive
1946,Negative
1947,Positive
1948,Positive
1949,Positive
1950,Positive
1951,Positive
1952,Positive
1953,Positive
1954,Positive
1955,Negative
1956,Positive
1957,Negative
1958,Negative
1959,Negative
1960,Negative
1961,Positive
1962,Positive
1963,Negative
1964,Positive
1965,Positive
1966,Positive
1967,Negative
1968,Positive
1969,Positive
1970,Positive
1971,Negative
1972,Negative
1973,Positive
1974,Negative
1975,Negative
1976,Positive
1977,Positive
1978,Negative
1979,Positive
1980,Positive
1981,Negative
1982,Positive
1983,Positive
1984,Positive
1985,Negative
1986,Positive
1987,Positive
1988,Positive
1989,Negative
1990,Positive
1991,Positive
1992,Positive
1993,Positive
1994,Positive
1995,Positive
1996,Negative
1997,Positive
1998,Positive
1999,Positive
2000,Positive
2001,Positive
2002,Positive
2003,Negative
2004,Positive
2005,Positive
2006,Negative
2007,Positive
2008,Negative
2009,Positive
2010,Positive
2011,Positive
2012,Positive
2013,Positive
2014,Negative
2015,Positive
2016,Positive
2017,Positive
2018,Positive
2019,Positive
2020,Positive
2021,Positive
2022,Positive
2023,Negative
2024,Positive
2025,Negative
2026,Negative
2027,Positive
2028,Positive
2029,Positive
2030,Positive
2031,Negative
2032,Positive
2033,Negative
2034,Positive
2035,Negative
2036,Negative
2037,Positive
2038,Positive
2039,Negative
2040,Positive
2041,Positive
2042,Positive
2043,Negative
2044,Positive
2045,Negative
2046,Positive
2047,Positive
2048,Positive
2049,Positive
2050,Negative
2051,Negative
2052,Positive
2053,Positive
2054,Negative
2055,Positive
2056,Positive
2057,Positive
2058,Positive
2059,Negative
2060,Positive
2061,Negative
2062,Positive
2063,Positive
2064,Positive
2065,Negative
2066,Positive
2067,Positive
2068,Negative
2069,Positive
2070,Positive
2071,Positive
2072,Positive
2073,Positive
2074,Positive
2075,Positive
2076,Negative
2077,Positive
2078,Positive
2079,Positive
2080,Positive
2081,Negative
2082,Positive
2083,Positive
2084,Positive
2085,Positive
2086,Positive
2087,Negative
2088,Negative
2089,Positive
2090,Positive
2091,Positive
2092,Positive
2093,Negative
2094,Positive
2095,Positive
2096,Positive
2097,Negative
2098,Negative
2099,Positive
2100,Positive
2101,Positive
2102,Positive
2103,Positive
2104,Positive
2105,Negative
2106,Positive
2107,Positive
2108,Positive
2109,Positive
2110,Positive
2111,Negative
2112,Positive
2113,Positive
2114,Negative
2115,Positive
2116,Negative
2117,Negative
2118,Positive
2119,Positive
2120,Positive
2121,Positive
2122,Negative
2123,Positive
2124,Positive
2125,Positive
2126,Negative
2127,Positive
2128,Positive
2129,Positive
2130,Negative
2131,Positive
2132,Positive
2133,Positive
2134,Positive
