Date,score
2020-01-13,-0.00685931254337709
2020-01-14,-0.01563114555191762
2020-01-15,-0.017688089293656433
2020-01-16,-0.020904760422942276
2020-01-17,-0.03276826788618137
2020-01-18,0.008150173636820579
2020-01-19,-0.010886909871915096
2020-01-20,0.0044129752287308905
2020-01-21,-0.014857312670928971
2020-01-22,-0.011251216083670265
2020-01-23,-0.003513531564400818
2020-01-24,-0.005767716876396174
2020-01-25,-0.01847927600211056
2020-01-26,-0.006443064638991358
2020-01-27,-0.002650643474268096
2020-01-28,0.0019132317678292783
2020-01-29,-0.0029858943140754026
2020-01-30,0.014191840729160687
2020-01-31,-0.011865639125888191
2020-02-01,-0.022934342204519398
2020-02-02,-0.011650681481587913
2020-02-03,-0.01680773366894554
2020-02-04,-0.018273143107397177
2020-02-05,-0.016547615857102255
2020-02-06,-0.012970760309380047
2020-02-07,-0.015790374741709152
2020-02-08,-0.0174288287503096
2020-02-09,-0.00886819570978
2020-02-10,-0.005138914422740948
2020-02-11,-0.0024839978828924414
2020-02-12,-0.015520154609572864
2020-02-13,-0.012135685162743734
2020-02-14,0.007449839932975951
2020-02-15,-0.021491144696443865
2020-02-16,-0.015443000112006574
2020-02-17,-0.006128388532669578
2020-02-18,-0.022514237674864084
2020-02-19,-0.0041760563388006195
2020-02-20,-0.01875147133460627
2020-02-21,-0.016891569216986646
2020-02-22,-0.005033125235241391
2020-02-23,-0.01129374012417502
2020-02-24,-0.010355788027064458
2020-02-25,-0.001685091926459048
2020-02-26,-0.00935765745662931
2020-02-27,-0.01633566692726318
2020-02-28,-0.006426302368838639
2020-02-29,-0.010440439282425032
2020-03-01,-0.016959711667003424
2020-03-02,-0.003786844846842663
2020-03-03,-0.009592251924488537
2020-03-04,-0.018023298623653077
2020-03-05,-0.01905683349572999
2020-03-06,-0.008258871601164564
2020-03-07,0.0031421120505643607
2020-03-08,-0.016297786286623966
2020-03-09,0.007285144286629149
2020-03-10,-0.005428721429887447
2020-03-11,-0.023311508535638237
2020-03-12,-0.0028712891798387354
2020-03-13,-0.0003695414785506908
2020-03-14,-0.02067332212883703
2020-03-15,-0.005143872558290592
2020-03-16,0.014159752283244545
2020-03-17,-0.009202270039878132
2020-03-18,-0.0011844252015741723
2020-03-19,-0.013997910586796522
2020-03-20,0.00650213863993195
2020-03-21,-0.014940000812520301
2020-03-22,-0.01924506438421854
2020-03-23,-0.004753180731004096
2020-03-24,-0.006085135731975185
2020-03-25,-0.017810994694010745
2020-03-26,-0.008752686840130974
2020-03-27,-0.0007610649470639608
2020-03-28,-0.01585094856624451
2020-03-29,-0.010780248464821026
2020-03-30,-0.012601678035113473
2020-03-31,-0.004200870078447346
2020-04-01,-0.014153974091588806
2020-04-02,-0.011001859313308882
2020-04-03,-0.011130933110486851
2020-04-04,-0.015334074240027381
2020-04-05,-0.005430314961802463
2020-04-06,0.0008405203045827037
2020-04-07,-0.0011455150342911298
2020-04-08,-0.005269070120372403
2020-04-09,-0.01369623373573999
2020-04-10,-0.019329032277507558
2020-04-11,-0.017528577409440322
2020-04-12,-0.011554348597077454
2020-04-13,-0.029897511132421783
2020-04-14,-0.009845098017019716
2020-04-15,-0.019314967409141515
2020-04-16,-0.026174334127954408
2020-04-17,-0.017995308014792395
2020-04-18,-0.01618036145438066
2020-04-19,-0.014764106264422927
2020-04-20,-0.013552735068755503
2020-04-21,-0.015311203817513422
2020-04-22,-0.007008387552409438
2020-04-23,-0.021567525628031436
2020-04-24,-0.01784352098534092
2020-04-25,-0.00393300354044505
2020-04-26,-0.002230349737062006
2020-04-27,-0.014726529456549028
2020-04-28,-0.009104294559380074
2020-04-29,-0.008343459896894556
2020-04-30,-0.01982721327752383
2020-05-01,-0.013976018438978185
2020-05-02,-0.017123369494511837
2020-05-03,-0.016619343735984504
2020-05-04,0.013509637900998054
2020-05-05,-0.021377368188136254
2020-05-06,-0.014279092232250287
2020-05-07,-0.01403730726398437
2020-05-08,-0.016801092367341286
2020-05-09,-0.007776182471694574
2020-05-10,-0.016891136687705883
2020-05-11,-0.01393846556198782
2020-05-12,-0.0008121775607962863
2020-05-13,-0.00474255046105776
2020-05-14,-0.004635290926506201
2020-05-15,-0.007997859960147347
2020-05-16,-0.003788713006504888
2020-05-17,-0.020359540073897286
2020-05-18,0.004447566389217283
2020-05-19,-0.020929400279948496
2020-05-20,-0.004788994336986392
2020-05-21,-0.02106259103032067
2020-05-22,-0.0073940181231289355
2020-05-23,-0.027723544226226655
2020-05-24,-0.024359704031185037
2020-05-25,-0.011083310937066862
2020-05-26,-0.008935621486112155
2020-05-27,0.005015448603449897
2020-05-28,-0.005709350848012311
2020-05-29,0.00268350682233065
2020-05-30,-0.012763960951190331
2020-05-31,-0.034028781566035025
2020-06-01,-0.003218936950541614
2020-06-02,-0.012636525587256328
2020-06-03,-0.012112467265432728
2020-06-04,-0.01664052078561477
2020-06-05,-0.011648870175528995
2020-06-06,-0.011618286268859931
2020-06-07,-0.02477177323499465
2020-06-08,-0.011858851171646942
2020-06-09,-0.011057814125772484
2020-06-10,-0.004185216143278196
2020-06-11,-0.005595697219745325
2020-06-12,-0.007470657854579454
2020-06-13,-0.024098182773311883
2020-06-14,-0.022653879258109615
2020-06-15,-0.018679018037495537
2020-06-16,-0.003786443665219519
2020-06-17,-0.010231320433174615
2020-06-18,-0.021104426944225246
2020-06-19,-0.0007518588872497863
2020-06-20,-0.005006698184141789
2020-06-21,-0.018662765057760915
2020-06-22,-0.00015030760666427204
2020-06-23,0.007432359838705864
2020-06-24,0.0036260380658570033
2020-06-25,-0.0032320789303373156
